sc,seed,kind,oracle,net,cost,contacts,n_pil,n_fin,pilot_net,fin_net,slope
S4,8,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,8,template,3166221.1660549147,-232599.002655331,18912.0,4728,6,2,-237695.34373670543,-78076.32282800587,
S4,9,agent,3166221.1660549147,-209636.31059267122,99898.0,12771,19,10,-601543.9659378368,238446.61723265238,
S4,9,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,9,template,3166221.1660549147,-607555.5351109031,42736.0,10684,6,3,-235822.25906791963,-600643.9370178442,
S5,0,agent,25224197.49364163,4023075.7916411357,70850.0,14036,19,10,11764.945930535589,4034635.1857855404,
S5,0,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,0,template,25224197.49364163,14430533.177844087,20464.0,5116,6,2,875392.3302140532,14607739.20486043,
S5,0,confirm,25224197.49364163,4173857.79273736,61746.0,11382,19,10,309355.0586381838,4381491.643608117,
S5,0,slope,25224197.49364163,3814275.4240965173,52604.0,10272,19,5,309355.0586381838,4021909.274967274,0.3483701070597692
S5,1,agent,25224197.49364163,1940921.0359819126,93898.0,13669,19,10,69402.27362816798,1649945.0014560097,
S5,1,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,1,template,25224197.49364163,14090083.578659631,58048.0,14512,6,5,876904.2962408508,14093683.578659631,
S5,1,confirm,25224197.49364163,4852804.241086781,80372.0,14032,19,10,236103.28560689505,4948179.627594651,
S5,1,slope,25224197.49364163,4471977.320602196,69956.0,13150,19,6,236103.28560689505,4567352.707110066,0.4045818540629996
S5,2,agent,25224197.49364163,2106057.0277348375,60148.0,14776,19,10,9354.906393284917,2136687.7405542717,
S5,2,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,2,template,25224197.49364163,14335748.383076314,39144.0,9786,6,4,876001.6086554942,14347192.088633081,
S5,2,confirm,25224197.49364163,5732104.295975671,96126.0,14919,19,10,229391.25791398846,5953565.139216838,
S5,2,slope,25224197.49364163,5369398.392793467,97810.0,14809,19,10,229391.25791398846,5582261.142466673,0.388219378554156
S5,3,agent,25224197.49364163,3796311.4519582638,83702.0,14936,19,10,26945.785208203306,3764447.609972349,
S5,3,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,3,template,25224197.49364163,14435164.162214402,12032.0,3008,6,1,870043.3336392406,14616171.20486043,
S5,3,confirm,25224197.49364163,5277933.6950866915,89022.0,13199,19,10,246861.9369935642,5442710.4675267525,
S5,3,slope,25224197.49364163,5301245.112874832,84102.0,13813,19,5,246861.9369935642,5509408.249325495,0.056934249267157816
S5,4,agent,25224197.49364163,4663562.708858543,63972.0,14940,19,10,25782.55507129561,4655848.587555608,
S5,4,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,4,template,25224197.49364163,14429207.715448283,20464.0,5116,6,2,846051.4396609159,14607739.20486043,
S5,4,confirm,25224197.49364163,4641767.405668618,69736.0,12755,19,10,219674.74434022215,4794828.664698036,
S5,4,slope,25224197.49364163,4238295.467647534,64816.0,12608,19,5,219674.74434022215,4356970.833863748,0.292520351871913
S5,5,agent,25224197.49364163,2449874.2643346097,98894.0,14669,19,10,11895.489505333979,2418147.4338056417,
S5,5,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,5,template,25224197.49364163,14344516.44932729,30712.0,7678,6,3,843795.4633016775,14355624.088633081,
S5,5,confirm,25224197.49364163,3921967.5080229794,95882.0,11762,19,10,236938.1005089457,4166536.4808810875,
S5,5,slope,25224197.49364163,4740294.556341309,92460.0,14169,19,6,236938.1005089457,4947910.608605853,0.12819124997106782
S5,6,agent,25224197.49364163,766208.9459788308,94814.0,14942,19,10,28851.925609850347,604314.8165920898,
S5,6,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,6,template,25224197.49364163,14241203.10351954,46248.0,11562,6,4,872019.0226517685,14412351.527266065,
S5,6,confirm,25224197.49364163,5293361.740170328,76268.0,14344,19,10,232394.97269963636,5482134.80770515,
S5,6,slope,25224197.49364163,4972652.191644654,71348.0,13238,19,4,232394.97269963636,5161425.259179475,0.21333439622655279
S5,7,agent,25224197.49364163,2300708.918991334,97754.0,9566,19,10,83350.68795807875,2190002.179118449,
S5,7,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,7,template,25224197.49364163,14175694.891437715,39368.0,9842,6,3,833616.1216759891,14354230.69488698,
S5,7,confirm,25224197.49364163,5663652.011605155,71994.0,13956,19,10,209781.03444916004,5898283.657714993,
S5,7,slope,25224197.49364163,5342668.421832012,62916.0,12850,19,4,209781.03444916004,5577300.067941851,0.19830827417070998
S5,8,agent,25224197.49364163,2920079.513947929,89880.0,14726,19,10,88590.24638178588,2887247.022520858,
S5,8,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,8,template,25224197.49364163,14478253.4496435,27344.0,6836,6,3,903842.4348858052,14665860.037239516,
S5,8,confirm,25224197.49364163,4452076.207309201,80688.0,14979,19,10,236301.3223163744,4569841.357558088,
S5,8,slope,25224197.49364163,4203921.325499698,76616.0,14555,19,4,236301.3223163744,4321686.475748585,0.03934375178656024
S5,9,agent,25224197.49364163,2954094.6764405086,87576.0,14405,19,10,-86602.31447826482,3094058.016674215,
S5,9,noexp,25224197.49364163,2144076.801752216,98580.0,4680,0,7,0.0,2144076.801752216,
S5,9,template,25224197.49364163,14037000.48216193,51168.0,12792,6,4,899893.194631203,14035562.746280547,
S5,9,confirm,25224197.49364163,3000446.7236620844,76044.0,14288,19,10,220745.28580264232,3117916.848230041,
S5,9,slope,25224197.49364163,2672213.146307817,71124.0,14145,19,5,220745.28580264232,2769733.288753568,0.13296545468905216
S7,0,agent,4838956.177691349,-3687206.810723205,80170.0,14971,19,10,-8750.553966863723,-3645579.3705371516,
S7,0,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,0,template,4838956.177691349,1958805.3013075702,32264.0,8066,6,3,138465.47490288963,1957693.7910310812,
S7,0,confirm,4838956.177691349,-2091911.0327842718,94040.0,8540,19,9,-688196.1241547664,-1433803.5827983555,
S7,0,slope,4838956.177691349,-759132.9919123913,67904.0,7490,19,2,-688196.1241547664,-101025.54192647469,-1.0472412907289395
S7,1,agent,4838956.177691349,-3581112.0993821826,85732.0,11893,19,10,3961.3958689241445,-3510056.136730803,
S7,1,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,1,template,4838956.177691349,2157950.1684038676,60000.0,15000,6,6,137928.36586677894,2157423.401744288,
S7,1,confirm,4838956.177691349,-1776371.5464289074,78624.0,6488,19,8,-694813.2655580197,-1043086.4250318437,
S7,1,slope,4838956.177691349,-392962.8215550736,50922.0,5382,19,1,-694813.2655580197,340322.29984199,-0.9896565080719674
S7,2,agent,4838956.177691349,-1430051.9633373017,95514.0,13560,19,10,244.55369226961193,-1497693.2544317117,
S7,2,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,2,template,4838956.177691349,1908337.3385805525,50944.0,12736,6,5,137859.78453839244,1904093.633023786,
S7,2,confirm,4838956.177691349,-1895599.8603965524,78118.0,12550,19,10,-663368.9418709194,-1253117.1443716036,
S7,2,slope,4838956.177691349,-469663.68084558425,76528.0,14551,19,5,-663368.9418709194,197704.56216739354,-1.005779753912887
S7,3,agent,4838956.177691349,-4497766.93183074,94706.0,12296,19,10,-6386.662902046857,-4519547.416447431,
S7,3,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,3,template,4838956.177691349,1966470.6147589013,23832.0,5958,6,2,138630.63209872507,1966125.7910310812,
S7,3,confirm,4838956.177691349,-1201160.6078626395,55156.0,14108,19,9,-682417.2720805835,-466279.32366379147,
S7,3,slope,4838956.177691349,-272160.43897305836,52232.0,13058,19,2,-682417.2720805835,462720.8452257896,-1.335999844094231
S7,4,agent,4838956.177691349,-2564217.8487281674,61908.0,14892,19,10,4481.979845691836,-2653948.511103471,
S7,4,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,4,template,4838956.177691349,1958330.2545468917,32264.0,8066,6,3,136448.4291572073,1957693.7910310812,
S7,4,confirm,4838956.177691349,-1486803.221004704,49108.0,14178,19,10,-677232.9584633549,-801444.3700513372,
S7,4,slope,4838956.177691349,-556165.4249172625,50036.0,14142,19,6,-677232.9584633549,133704.6932914397,-1.10074598743999
S7,5,agent,4838956.177691349,-3997964.3803645247,73638.0,14796,19,10,1061.2687495725386,-4057652.553060786,
S7,5,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,5,template,4838956.177691349,1916433.2723295758,42512.0,10628,6,4,137588.90258942958,1912525.633023786,
S7,5,confirm,4838956.177691349,-1833127.6690184767,88302.0,14108,19,10,-663389.4443290997,-1207548.2404409435,
S7,5,slope,4838956.177691349,-818729.3279080188,98800.0,13058,19,3,-663389.4443290997,-196112.38661222748,-1.2663862265051955
S7,6,agent,4838956.177691349,-2497783.8277974147,79376.0,14993,19,10,624.2969560518268,-2493003.053141657,
S7,6,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,6,template,4838956.177691349,1197931.0362650636,46248.0,11562,6,4,137489.51126662723,1136149.091189702,
S7,6,confirm,4838956.177691349,-1916948.6952947895,81010.0,6907,19,8,-680389.3799759464,-1256504.101732364,
S7,6,slope,4838956.177691349,-680620.3525281713,61372.0,5857,19,1,-680389.3799759464,-20175.758965745503,-1.1835083923232728
S7,7,agent,4838956.177691349,-3424418.9898372227,96216.0,10930,19,9,-13591.294911571149,-3408708.479140005,
S7,7,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,7,template,4838956.177691349,1282901.7603417924,42736.0,10684,6,3,138232.9154627885,1222749.0402189433,
S7,7,confirm,4838956.177691349,-1761341.10433076,33834.0,4629,19,5,-676478.7959207767,-1084862.3084099833,
S7,7,slope,4838956.177691349,-556694.2922514044,14996.0,5382,19,1,-676478.7959207767,138326.58082426107,-1.1980094331509525
S7,8,agent,4838956.177691349,-3737932.0228007566,74198.0,14999,19,10,3431.2961834283706,-3791347.528480964,
S7,8,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,8,template,4838956.177691349,989990.8472506253,27344.0,6836,6,3,140732.6198843373,920448.5812162522,
S7,8,confirm,4838956.177691349,-1549329.5286500775,93376.0,14976,19,10,-697508.2037302221,-874147.7131445496,
S7,8,slope,4838956.177691349,-650557.3432952253,92736.0,14635,19,4,-697508.2037302221,32464.025042624096,-1.356236399401221
S7,9,agent,4838956.177691349,-3658893.5174999014,90126.0,12681,19,10,-21.391638959788907,-3709624.093444873,
S7,9,noexp,4838956.177691349,-4888120.255323164,98580.0,4680,0,7,0.0,-4888120.255323164,
S7,9,template,4838956.177691349,1501976.420880929,51168.0,12792,6,4,140713.89821521912,1473017.1978034326,
S7,9,confirm,4838956.177691349,-834588.3079274765,90664.0,13834,19,10,-665068.280729283,-152746.9943956017,
S7,9,slope,4838956.177691349,-354879.5103466828,99122.0,14498,19,8,-665068.280729283,349824.6140253191,-1.2609533828374013
